,Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
MONTH,Date,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
Jan,1,50,46,41,49,43,24,97,-,29,15,-,0,30.28,-,30.12,-,0.24,-
,2,50,48,46,50,48,46,97,-,90,8,-,4,30.26,-,30.12,-,0.59,-
,3,55,50,46,53,49,46,100,-,89,12,-,0,30.09,-,29.66,-,0.31,-
,4,64,53,41,54,43,18,100,-,37,16,-,0,29.96,-,29.64,-,0,-
,5,44,37,29,26,18,12,63,-,27,12,-,0,30.05,-,29.88,-,0,-
,6,43,38,32,34,27,21,92,-,48,14,-,0,30.18,-,29.87,-,0.25,-
,7,32,26,20,29,19,3,92,-,45,21,-,4,30.4,-,30.08,-,0.6,-
,8,27,21,15,7,1,-2,67,-,32,14,-,0,30.74,-,30.42,-,0,-
,9,31,20,9,11,5,1,80,-,35,9,-,0,30.83,-,30.66,-,0,-
,10,48,36,24,42,21,11,82,-,33,15,-,0,30.62,-,30.32,-,0,-
,11,57,49,40,53,45,39,100,-,80,13,-,0,30.43,-,30.31,-,0,-
,12,73,64,54,55,52,50,93,-,46,28,-,6,30.36,-,30.27,-,0,-
,13,76,63,50,57,51,44,96,-,50,18,-,4,30.55,-,30.32,-,0.01,-
,14,55,49,42,39,36,27,83,-,49,17,-,0,30.59,-,30.32,-,0,-
,15,57,49,40,43,40,37,89,-,55,16,-,0,30.38,-,30.27,-,0.02,-
,16,51,48,44,41,33,23,77,-,36,12,-,0,30.47,-,30.31,-,0,-
,17,62,55,47,57,50,41,100,-,77,13,-,4,30.3,-,30.01,-,0.04,-
,18,70,58,45,57,45,33,87,-,31,17,-,0,30.07,-,29.93,-,0,-
,19,63,50,36,41,38,33,92,-,39,8,-,0,30.13,-,29.99,-,0,-
,20,59,53,46,55,48,41,100,-,77,9,-,0,29.98,-,29.85,-,0.09,-
,21,55,53,51,55,52,51,100,-,93,12,-,0,29.93,-,29.66,-,0.38,-
,22,56,55,53,54,53,51,100,-,93,23,-,0,29.7,-,29.39,-,0.09,-
,23,60,52,43,54,48,37,100,-,62,25,-,0,29.49,-,29.2,-,0.28,-
,24,63,52,41,38,37,36,82,-,42,20,-,0,29.81,-,29.49,-,0,-
,25,73,55,36,41,38,35,92,-,28,17,-,0,29.88,-,29.7,-,0,-
,26,70,57,43,56,38,15,72,-,15,24,-,6,29.94,-,29.6,-,0.06,-
,27,51,41,30,27,24,21,78,-,36,16,-,0,29.96,-,29.85,-,0,-
,28,52,40,27,23,21,17,81,-,26,22,-,0,29.97,-,29.85,-,0,-
,29,54,42,30,34,25,21,73,-,30,23,-,4,29.88,-,29.76,-,0.02,-
,30,46,38,30,32,16,9,67,-,24,21,-,0,30.09,-,29.79,-,0,-
,31,68,50,31,35,28,17,64,-,24,26,-,4,30.04,-,29.85,-,0,-
Feb,32,70,56,42,41,37,33,76,-,33,10,-,0,30.07,-,29.96,-,0,-
